program,analysis,run,env_size,byte_size,time
binarytrees.wasm,Polka,1,47,21956,8358617419
binarytrees.wasm,Polka,2,47,21956,8175958653
binarytrees.wasm,Polka,3,47,21956,8208119496
binarytrees.wasm,Polka,4,47,21956,8150343769
binarytrees.wasm,Polka,5,47,21956,8134032489
fankuchredux.wasm,Polka,1,51,3723,3788627596
fankuchredux.wasm,Polka,2,51,3723,4084801735
fankuchredux.wasm,Polka,3,51,3723,4054505577
fankuchredux.wasm,Polka,4,51,3723,4098244598
fankuchredux.wasm,Polka,5,51,3723,4088854222
fasta.wasm,Polka,1,36,2848,807675464
fasta.wasm,Polka,2,36,2848,804285415
fasta.wasm,Polka,3,36,2848,799472836
fasta.wasm,Polka,4,36,2848,803967366
fasta.wasm,Polka,5,36,2848,800134711
mandelbrot.wasm,Polka,1,113,15873,68138474174
mandelbrot.wasm,Polka,2,113,15873,66799351264
mandelbrot.wasm,Polka,3,113,15873,66939984749
mandelbrot.wasm,Polka,4,113,15873,67943719626
mandelbrot.wasm,Polka,5,113,15873,66199268008
nbody.wasm,Polka,1,147,24108,53802929512
nbody.wasm,Polka,2,147,24108,51255647313
nbody.wasm,Polka,3,147,24108,51831372475
nbody.wasm,Polka,4,147,24108,51559036208
nbody.wasm,Polka,5,147,24108,51971850208
reverse-complement.wasm,Polka,1,51,8096,1599868105
reverse-complement.wasm,Polka,2,51,8096,1572866672
reverse-complement.wasm,Polka,3,51,8096,1534142049
reverse-complement.wasm,Polka,4,51,8096,1508209556
reverse-complement.wasm,Polka,5,51,8096,1492716248
spectral-norm.wasm,Polka,1,58,3770,20435502670
spectral-norm.wasm,Polka,2,58,3770,19908136809
spectral-norm.wasm,Polka,3,58,3770,19828036576
spectral-norm.wasm,Polka,4,58,3770,20987119245
spectral-norm.wasm,Polka,5,58,3770,20339312019
binarytrees.wasm,Octagon,1,47,4512,2240901443
binarytrees.wasm,Octagon,2,47,4512,2244328572
binarytrees.wasm,Octagon,3,47,4512,2247616347
binarytrees.wasm,Octagon,4,47,4512,2198210401
binarytrees.wasm,Octagon,5,47,4512,2216476754
fankuchredux.wasm,Octagon,1,49,4900,948266355
fankuchredux.wasm,Octagon,2,49,4900,915537711
fankuchredux.wasm,Octagon,3,49,4900,905743658
fankuchredux.wasm,Octagon,4,49,4900,894662010
fankuchredux.wasm,Octagon,5,49,4900,909104327
fasta.wasm,Octagon,1,34,2380,293946238
fasta.wasm,Octagon,2,34,2380,291520063
fasta.wasm,Octagon,3,34,2380,290486378
fasta.wasm,Octagon,4,34,2380,288332728
fasta.wasm,Octagon,5,34,2380,288380649
mandelbrot.wasm,Octagon,1,113,25764,65224715552
mandelbrot.wasm,Octagon,2,113,25764,65361476527
mandelbrot.wasm,Octagon,3,113,25764,65468528657
mandelbrot.wasm,Octagon,4,113,25764,65181298637
mandelbrot.wasm,Octagon,5,113,25764,65213672612
nbody.wasm,Octagon,1,147,43512,24527882070
nbody.wasm,Octagon,2,147,43512,24439401432
nbody.wasm,Octagon,3,147,43512,24644507585
nbody.wasm,Octagon,4,147,43512,24874021046
nbody.wasm,Octagon,5,147,43512,25116479640
reverse-complement.wasm,Octagon,1,50,5100,562788001
reverse-complement.wasm,Octagon,2,50,5100,525763532
reverse-complement.wasm,Octagon,3,50,5100,522873818
reverse-complement.wasm,Octagon,4,50,5100,522419750
reverse-complement.wasm,Octagon,5,50,5100,519328224
spectral-norm.wasm,Octagon,1,37,2664,666233829
spectral-norm.wasm,Octagon,2,37,2664,614924568
spectral-norm.wasm,Octagon,3,37,2664,612083056
spectral-norm.wasm,Octagon,4,37,2664,627095843
spectral-norm.wasm,Octagon,5,37,2664,623292041
binarytrees.wasm,Box,1,47,94,867824298
binarytrees.wasm,Box,2,47,94,868818097
binarytrees.wasm,Box,3,47,94,868921134
binarytrees.wasm,Box,4,47,94,867964575
binarytrees.wasm,Box,5,47,94,876733327
fankuchredux.wasm,Box,1,44,88,353549158
fankuchredux.wasm,Box,2,44,88,351345681
fankuchredux.wasm,Box,3,44,88,354002916
fankuchredux.wasm,Box,4,44,88,356614053
fankuchredux.wasm,Box,5,44,88,401334215
fasta.wasm,Box,1,34,68,158485151
fasta.wasm,Box,2,34,68,583036187
fasta.wasm,Box,3,34,68,249761506
fasta.wasm,Box,4,34,68,170781261
fasta.wasm,Box,5,34,68,166600125
mandelbrot.wasm,Box,1,113,226,3508062478
mandelbrot.wasm,Box,2,113,226,3428135657
mandelbrot.wasm,Box,3,113,226,3486948107
mandelbrot.wasm,Box,4,113,226,3445435364
mandelbrot.wasm,Box,5,113,226,3441461732
nbody.wasm,Box,1,147,294,2610505382
nbody.wasm,Box,2,147,294,2378550927
nbody.wasm,Box,3,147,294,2685689071
nbody.wasm,Box,4,147,294,2583540921
